order_id,customer_id,product_id,category,brand,price,quantity,order_date,city
ORD10001,CUST042,PRD017,Electronics,Boat,1299.00,1,2024-01-01,Mumbai
ORD10002,CUST119,PRD221,Fashion,Levis,2199.00,1,2024-01-01,Mumbai
ORD10003,CUST042,PRD088,Home & Kitchen,Milton,649.00,2,2024-01-02,Mumbai
ORD10004,CUST311,PRD500,Electronics,Samsung,18999.00,1,2024-01-02,Mumbai
ORD10005,CUST008,PRD156,Beauty,Lakme,399.00,3,2024-01-02,Bengaluru
ORD10006,CUST1450,PRD171,Beauty,Lakme,599.00,1,2024-01-03,Hyderabad
ORD10007,CUST1306,PRD522,Fashion,Woodland,302.00,1,2024-01-03,Delhi
ORD10008,CUST255,PRD506,Fashion,Allen Solly,745.00,1,2024-01-03,Mumbai
ORD10008,CUST255,PRD480,Sports,Nike,942.00,1,2024-01-03,Mumbai
ORD10008,CUST255,PRD522,Fashion,Woodland,302.00,4,2024-01-03,Mumbai
ORD10008,CUST255,PRD163,Electronics,Realme,1801.00,1,2024-01-03,Mumbai
ORD10009,CUST720,PRD381,Fashion,Peter England,406.00,3,2024-01-03,Mumbai
ORD10009,CUST720,PRD277,Electronics,Samsung,2013.00,1,2024-01-03,Mumbai
ORD10010,CUST924,PRD225,Electronics,Samsung,469.00,1,2024-01-03,Chennai
ORD10011,CUST084,PRD304,Sports,Campus,1385.00,1,2024-01-03,Delhi
ORD10012,CUST1271,PRD316,Home & Kitchen,Milton,458.00,2,2024-01-03,Mumbai
ORD10012,CUST1271,PRD141,Fashion,Puma,677.00,1,2024-01-03,Mumbai
ORD10013,CUST1461,PRD115,Fashion,Woodland,547.00,1,2024-01-03,Kolkata
ORD10014,CUST365,PRD215,Sports,Campus,638.00,2,2024-01-03,Delhi
ORD10015,CUST077,PRD154,Beauty,Lakme,404.00,1,2024-01-03,Pune
ORD10016,CUST066,PRD191,Fashion,Levis,651.00,1,2024-01-03,Bengaluru
ORD10017,CUST967,PRD192,Electronics,Mi,2555.00,1,2024-01-03,Pune
ORD10017,CUST967,PRD163,Electronics,Realme,1801.00,1,2024-01-03,Pune
ORD10018,CUST1212,PRD154,Beauty,Lakme,404.00,6,2024-01-03,Chennai
ORD10019,CUST589,PRD261,Fashion,,324.00,3,2024-01-03,Delhi
ORD10019,CUST589,PRD392,Home & Kitchen,Pigeon,1205.00,1,2024-01-03,Delhi
ORD10020,CUST775,PRD091,Home & Kitchen,Cello,349.00,2,2024-01-03,Delhi
ORD10021,CUST1112,PRD246,Sports,Decathlon,256.00,1,2024-01-03,Ahmedabad
ORD10022,CUST578,PRD491,Electronics,Boat,1154.00,2,2024-01-03,Bengaluru
